family,group,seed,phi,z_contact,N,E,d_cv,ov_med,frac_type2,G_eff,err_I1,lift,eta_g,eta_far,eta_rnd,rho_g,jaccard_g,share_gap,share_contact,share_bond,top20_share,H,frac_sat,engine_version,engine_variant,baseline_fp
seg_033,segregation strength,2,0.6600000000000006,4.931111111111111,900,3325,0.46774689538794956,0.015349101436637192,0.0,0.0009538316691553684,4.440892098500626e-16,38.984230762567506,0.027968877768434763,0.032488301948419604,0.025651397512252462,0.42786975941774646,0.0,0.08820875681604555,0.9117912431839544,0.0,0.21787745724379343,6.281906717746852,0.0,v4,holm,014d59a0d7b143ba
seg_067,segregation strength,0,0.6600000000000006,4.782222222222222,900,3230,0.46774689538794956,0.01739487924114993,0.0,0.00028534146112491277,6.661338147750939e-16,328.11360356980157,0.0007018146075338118,0.0006798500388335241,0.003047724901132495,0.39641419730977,0.0,0.0797872487259274,0.9202127512740726,0.0,0.7069735235901752,4.1652436313148815,0.0,v4,holm,014d59a0d7b143ba
seg_067,segregation strength,1,0.6600000000000006,4.806666666666667,900,3189,0.46774689538794956,0.019211362134834965,0.0,0.00012801768971163792,8.881784197001252e-16,401.0388171405465,0.0016971910301973338,0.0003647929276026425,0.0024935242107737014,0.3600043244090324,0.0,0.1048646152451951,0.8951353847548051,0.0,0.7125127255954788,4.034932750558463,0.0,v4,holm,014d59a0d7b143ba
seg_067,segregation strength,2,0.6600000000000006,4.915555555555556,900,3231,0.46774689538794956,0.01794129772162738,0.0,7.309077767173915e-05,1.1102230246251565e-15,194.86098014091593,0.0006808396960663315,0.0002601051409203381,0.005131863748590604,0.3693355161144545,0.0,0.3489299362312563,0.6510700637687437,0.0,0.7840010211426485,3.657512894253328,0.0,v4,holm,014d59a0d7b143ba
seg_100,segregation strength,0,0.6600000000000006,4.006666666666667,900,2776,0.46774689538794956,0.018572077335883907,0.0,0.0002508391728845405,2.220446049250313e-16,75.97315882700588,0.00028175682395648673,0.0006944011335297819,0.013162543396109708,0.25099731986650464,0.0,0.3453883366320897,0.6546116633679102,0.0,0.4208646262680689,5.225758153704641,0.0,v4,holm,014d59a0d7b143ba
seg_100,segregation strength,1,0.6600000000000006,4.1755555555555555,900,2817,0.46774689538794956,0.02026456266489953,0.0,0.0002511065395653064,2.220446049250313e-16,198.86649756584993,0.001459304248898567,0.0015300499455632608,0.005028499079735006,0.26860965108174495,0.0,0.2116772466824636,0.7883227533175364,0.0,0.4397130789078143,5.115338581718528,0.0,v4,holm,014d59a0d7b143ba
seg_100,segregation strength,2,0.6600000000000006,3.868888888888889,900,2660,0.46774689538794956,0.018304884696768033,0.0,0.00034419166099684714,3.552713678800501e-15,244.96273341102022,0.0007661379031808378,0.001184504488070713,0.004082253598640701,0.3121447727667667,0.0,0.14315356578545949,0.8568464342145405,0.0,0.5369021998423685,4.771221599193734,0.0,v4,holm,014d59a0d7b143ba
jittered_ref,legacy baseline,0,0.37099613617479377,2.1776061776061777,1036,2524,0.020445793681251507,0.05493893672657011,0.006756756756756757,9.663337530908377e-05,2.55351295663786e-15,10.156153113508815,0.05315516785939834,0.20649848158121742,0.09846247775349985,0.03487241103825329,0.02564102564102564,0.5046950370295584,0.4953049629704415,0.0,0.09539357495154287,6.956423779551381,0.0,v4,holm,014d59a0d7b143ba
jittered_ref,legacy baseline,1,0.3737346949842481,2.1539942252165543,1039,2534,0.020416554754624817,0.05489009264358256,0.006737247353224254,0.00010306419887841165,1.5543122344752192e-15,11.66477019340595,0.05856040462925921,0.13880478772879634,0.08572822125251094,0.06523848633921248,0.02564102564102564,0.48507793502980173,0.5149220649701982,0.0,0.09032026136360288,6.971225050715422,0.0,v4,holm,014d59a0d7b143ba
jittered_ref,legacy baseline,2,0.3747704005929999,2.2058252427184466,1030,2474,0.020504650349445146,0.05296362916290196,0.006796116504854369,0.00010375465449328141,3.9968028886505635e-15,10.963879697477354,0.06954971199542519,0.14932898670970904,0.09120858925787802,0.07759585502957926,0.0,0.4463931092569371,0.5536068907430629,0.0,0.09985864985032444,6.9007380944757815,0.0,v4,holm,014d59a0d7b143ba
