u,v,P_share,g,branch,x_mid,y_mid,z_mid,family,d_um,seed,filler,matrix,treat,engine_version,engine_variant,baseline_fp
1255,1947,0.0020411940068496962,0.0004023223425399723,contact,31.011976012125658,89.38980309378596,258.9931713451137,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1524,1685,0.0019803306309856827,0.000606377200221381,contact,169.51225124132486,182.78100301093096,255.66324779644094,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
467,777,0.001976039689688021,0.0003494334457625093,contact,94.78069117290019,217.42180003361062,254.82485196142852,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
427,970,0.0019552726677515004,0.00016460100542406417,contact,146.0172268448108,228.61020097108548,23.79528955705689,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
102,779,0.001932888028574226,0.0003121342076376471,contact,32.20460649044617,193.62571035578588,29.23447627490826,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
130,1234,0.0019217210927844615,0.0002351586815655682,contact,256.8600382050519,41.819276433613915,39.40965890565889,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
427,648,0.0019069049988476852,0.00016052902379580218,contact,137.98358890874204,230.15520680151758,23.79528955705689,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1685,1933,0.00188423156086124,0.0005769313977768117,contact,195.39608938184898,184.63957241999543,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
801,905,0.0018357296584447943,0.0005661460379473232,contact,208.0503408633458,250.7254234649741,75.53570453749948,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
161,203,0.001794025056876412,0.0002906993322411534,contact,248.72639642416777,93.16526269118634,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1255,1803,0.0017712603130378155,0.000756711334651458,contact,38.384775584641694,64.25807142804906,224.3290767684917,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
77,355,0.0016466850853954715,0.0014594090626685783,contact,39.65881592842815,77.09640395120526,84.21141019073963,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1255,1322,0.0016251471465679552,0.00032032285807570294,contact,58.375055556885926,74.82488265802729,260.34204810580445,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1054,1552,0.0016167728403481442,0.0004660981863183788,contact,172.56942847336242,225.93763441981167,256.1335918796428,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
